Delta,deltaID,AnthropogenicConditioningIndex,HazardousEventsIndex,InvestmentDeficitIndex,Rprime,RprimeFuture,RprimeGrowthFactor
Amazon,1,0.17312475,0.48387097,0.5212766,0.04366736,0.0606592,0.38911997
Amur,2,0.20748361,0.52615355,0.62765957,0.06852049,0.08860421,0.29310535
Brahmani,3,0.5993425,0.56755772,0.63475177,0.21591809,0.26405627,0.22294648
Burdekin,4,0.15216546,0.80011063,0.32624113,0.0397196,0.0684353,0.72296052
Chao Phraya,5,0.58205912,0.39727751,0.21276596,0.04919979,0.13428204,1.72932156
Colorado,6,0.37065417,0.75819939,0.36524823,0.10264562,0.17555751,0.71032626
Congo,7,0.29423921,0.21705559,0.74468085,0.04755998,0.05840568,0.2280424
Danube,8,0.38022142,0.23670213,0.61702128,0.05553143,0.07208862,0.29815889
Dnieper,9,0.46742313,0.32180851,0.71631206,0.10774819,0.12832552,0.19097611
Ebro,10,0.3582167,0.36456189,0.30496454,0.03982598,0.07617162,0.91261156
Fly,11,0.23988143,0.24948524,0.90780142,0.05432908,0.05602293,0.03117767
Ganges,12,0.79482807,0.44607778,0.61702128,0.21876806,0.30072074,0.37460989
Godavari,13,0.68526654,0.5493799,0.55673759,0.20959593,0.28240734,0.34738944
Grijalva,14,0.49110988,0.5115961,0.33687943,0.08464092,0.15456733,0.82615362
Han,15,0.5884426,0.81057479,0.14184397,0.06765627,0.24990542,2.6937509
Hong,16,0.51619767,0.53412075,0.58510638,0.16132078,0.21464477,0.33054631
Indus,17,0.62580199,0.48120328,0.61702128,0.18580854,0.25399373,0.36696479
Irrawaddy,18,0.5940716,0.25972318,0.9929078,0.15319988,0.15319988,0
Krishna,19,0.72394961,0.59719505,0.64184397,0.27749426,0.3366376,0.21313355
Lena,20,0.10477008,0.30078929,0.61347518,0.01933288,0.02542779,0.31526093
Limpopo,21,0.37667582,0.64586812,0.85815603,0.20877469,0.2202508,0.0549689
Mackenzie,22,0.13478708,0.40196751,0.29787234,0.01613873,0.02968434,0.83932274
Magdalena,23,0.39117802,0.25059244,0.4822695,0.04727507,0.06623382,0.40103045
Mahakam,24,0.45361324,0.25949439,0.5177305,0.06094211,0.08981567,0.47378673
Mahanadi,25,0.47376085,0.54379441,0.62056738,0.15987585,0.19876488,0.24324523
Mekong,26,0.47885222,0.22277511,0.53546099,0.05712103,0.08127523,0.42286009
Mississippi,27,0.5109939,0.59426017,0.08156028,0.02476687,0.14795648,4.97396838
Moulouya,28,0.27595516,0.49273622,0.55673759,0.07570134,0.09815072,0.29655196
Niger,29,0.50038395,0.23295585,0.57446809,0.06696423,0.09775697,0.45983859
Nile,30,0.61051548,0.26384123,0.5106383,0.08225318,0.12860348,0.56350756
Orinoco,31,0.31963236,0.15305422,0.67375887,0.03296101,0.04311489,0.30805728
Parana,32,0.27404186,0.34391444,0.38297872,0.03609458,0.06632606,0.83756315
Pearl,33,0.58430466,0.62380018,0.31914894,0.11632639,0.22980449,0.97551473
Po,34,0.63456676,0.38375086,0.24822695,0.06044712,0.14085674,1.33024736
Rhine,35,0.59836919,0.41455045,0.05673759,0.014074,0.1147042,7.15007954
Rhone,36,0.38983866,0.34351407,0.22695035,0.03039207,0.07334785,1.41338782
Rio Grande,37,0.48850974,0.70622608,0.22695035,0.07829749,0.19384448,1.47574316
Sao Francisco,38,0.40202371,0.37685884,0.62765957,0.09509431,0.11510545,0.21043461
Sebou,39,0.54241592,0.54232441,0.64893617,0.19089457,0.22142251,0.15992045
Senegal,40,0.43916154,0.36032944,0.82269504,0.13018559,0.14212898,0.0917412
Shatt-el-Arab,41,0.55556462,0.50168726,0.58156028,0.1620923,0.23571962,0.4542308
Tana,42,0.3207121,0.45716083,0.88652482,0.12997962,0.1327461,0.02128396
Tone,43,0.64307242,0.67398765,0.19148936,0.08299587,0.23020258,1.77366314
Vistula,44,0.40576925,0.31125601,0.34042553,0.0429951,0.07635834,0.77597762
Volta,45,0.54739439,0.31789064,0.68794326,0.11971008,0.13448529,0.12342501
Yangtze,46,0.55155621,0.80299771,0.23404255,0.10365707,0.26661743,1.57211051
Yellow,47,0.61145594,0.46393035,0.34042553,0.09656952,0.18087228,0.87297483
Yukon,48,0.03004038,0.4186113,0.38652482,0.00486064,0.0074114,0.52477648
