indicator,nonnull_cells
Population in largest city,132
Population in the largest city (% of urban population),132
Population in urban agglomerations of more than 1 million (% of total population),132
Population in urban agglomerations of more than 1 million,132
Net migration,132
"Mortality rate, adult, female (per 1,000 female adults)",130
"Population ages 15-64, female",130
"Population ages 40-44, male (% of male population)",130
Urban population,130
"Population ages 0-14, total",130
"Population ages 65 and above, male",130
"Population, male",130
"Birth rate, crude (per 1,000 people)",130
"Population ages 80 and above, female (% of female population)",130
"Population ages 30-34, male (% of male population)",130
"Age dependency ratio, old (% of working-age population)",130
Population ages 65 and above (% of total population),130
"Population ages 20-24, male (% of male population)",130
"Population ages 55-59, male (% of male population)",130
"Population ages 65 and above, total",130
"Population, total",130
"Population ages 60-64, female (% of female population)",130
"Population ages 00-04, male (% of male population)",130
"Population, female (% of total population)",130
"Population ages 10-14, male (% of male population)",130
"Fertility rate, total (births per woman)",130
"Survival to age 65, female (% of cohort)",130
"Population ages 05-09, male (% of male population)",130
"Population ages 15-64, total",130
"Life expectancy at birth, male (years)",130
"Death rate, crude (per 1,000 people)",130
"Population ages 45-49, female (% of female population)",130
"Population ages 0-14, male",130
"Population ages 40-44, female (% of female population)",130
"Population ages 75-79, female (% of female population)",130
"Population ages 70-74, male (% of male population)",130
"Population ages 45-49, male (% of male population)",130
"Population ages 60-64, male (% of male population)",130
"Population ages 0-14, male (% of male population)",130
"Population ages 50-54, male (% of male population)",130
"Population ages 65 and above, male (% of male population)",130
"Life expectancy at birth, total (years)",130
"Population ages 0-14, female (% of female population)",130
"Population ages 00-04, female (% of female population)",130
"Population ages 15-64, female (% of female population)",130
Urban population (% of total population),130
Rural population,130
"Population ages 30-34, female (% of female population)",130
"Population ages 15-64, male",130
"Population ages 05-09, female (% of female population)",130
Age dependency ratio (% of working-age population),130
"Population ages 65-69, male (% of male population)",130
"Population ages 15-19, female (% of female population)",130
"Population ages 65 and above, female",130
"Population ages 65 and above, female (% of female population)",130
"Population ages 55-59, female (% of female population)",130
"Population ages 50-54, female (% of female population)",130
"Life expectancy at birth, female (years)",130
"Population ages 25-29, male (% of male population)",130
"Age dependency ratio, young (% of working-age population)",130
"Population ages 65-69, female (% of female population)",130
"Population ages 25-29, female (% of female population)",130
"Mortality rate, adult, male (per 1,000 male adults)",130
"Population ages 70-74, female (% of female population)",130
"Population ages 35-39, female (% of female population)",130
Population ages 0-14 (% of total population),130
"Survival to age 65, male (% of cohort)",130
"Population ages 15-64, male (% of male population)",130
Sex ratio at birth (male births per female births),130
"Adolescent fertility rate (births per 1,000 women ages 15-19)",130
Population ages 15-64 (% of total population),130
"Population ages 10-14, female (% of female population)",130
"Population ages 0-14, female",130
"Population, female",130
Rural population (% of total population),130
"Population ages 80 and above, male (% of male population)",130
Merchandise exports (current US$),130
Merchandise imports (current US$),130
"Population ages 35-39, male (% of male population)",130
"Population, male (% of total population)",130
"Population ages 20-24, female (% of female population)",130
"Population ages 75-79, male (% of male population)",130
"Population ages 15-19, male (% of male population)",130
"Net bilateral aid flows from DAC donors, Total (current US$)",128
Net official development assistance received (constant 2021 US$),128
"Net bilateral aid flows from DAC donors, Japan (current US$)",128
Total fisheries production (metric tons),128
"Technical cooperation grants (BoP, current US$)",128
Population growth (annual %),128
Net ODA received per capita (current US$),128
"Grants, excluding technical cooperation (BoP, current US$)",128
Capture fisheries production (metric tons),128
Aquaculture production (metric tons),128
Net official development assistance and official aid received (constant 2021 US$),128
Net official development assistance and official aid received (current US$),128
Urban population growth (annual %),128
Rural population growth (annual %),128
Net official development assistance received (current US$),128
"Net bilateral aid flows from DAC donors, Germany (current US$)",127
Arable land (hectares per person),126
"Mortality rate, under-5 (per 1,000 live births)",126
"Mortality rate, under-5, male (per 1,000 live births)",126
Land under cereal production (hectares),126
Permanent cropland (% of land area),126
Land area (sq. km),126
"Mortality rate, infant (per 1,000 live births)",126
Agricultural land (% of land area),126
Fertilizer consumption (kilograms per hectare of arable land),126
Arable land (% of land area),126
Population density (people per sq. km of land area),126
Arable land (hectares),126
"Mortality rate, infant, male (per 1,000 live births)",126
Surface area (sq. km),126
Cereal yield (kg per hectare),126
Agricultural land (sq. km),126
"Mortality rate, under-5, female (per 1,000 live births)",126
"Mortality rate, infant, female (per 1,000 live births)",126
Cereal production (metric tons),126
Number of infant deaths,125
