Country,Category,Metric,Year,Value,Unit
Vietnam,Climate Indicators,General government final consumption expenditure (,2019,9.578836368270895,Varies
Vietnam,Climate Indicators,"Annual freshwater withdrawals, total (billion cubi",2019,81.862,Varies
Malaysia,Climate Indicators,Adjusted savings: net forest depletion (% of GNI),2019,1.83782212605493,Varies
Malaysia,Climate Indicators,Carbon dioxide (CO2) emissions (total) excluding L,2019,296.0702655213413,Varies
Vietnam,Climate Indicators,Access to electricity (% of population),2019,99.4,Varies
Vietnam,Climate Indicators,"Agriculture, forestry, and fishing, value added (a",2019,2.667101948233011,Varies
Vietnam,Climate Indicators,Renewable energy consumption (% of total final ene,2019,20.4,Varies
Malaysia,Climate Indicators,Access to electricity (% of population),2019,100.0,Varies
Malaysia,Climate Indicators,Total greenhouse gas emissions including LULUCF (M,2019,72.11009999999999,Varies
Malaysia,Climate Indicators,Renewable energy consumption (% of total final ene,2019,5.7,Varies
Malaysia,Flood Hazard,FL (Hazard: High),2024,31809816.0,Population
Malaysia,Flood Hazard,UF (Hazard: High),2024,31809816.0,Population
Vietnam,Flood Hazard,FL (Hazard: High),2024,90607759.0,Population
Vietnam,Flood Hazard,UF (Hazard: High),2024,90607759.0,Population
Viet Nam,Historical Disasters,Total Events (EM-DAT),2024,281.0,Events
Malaysia,Historical Disasters,Total Events (EM-DAT),2024,100.0,Events
