Country,DisasterType,Year,Deaths,Affected
Viet Nam,Storm,1952,,
Viet Nam,Storm,1953,1000.0,
Viet Nam,Storm,1956,56.0,
Viet Nam,Storm,1964,7000.0,700000.0
Viet Nam,Flood,1964,400.0,
Malaysia,Flood,1965,6.0,300000.0
Viet Nam,Flood,1966,31.0,195902.0
Malaysia,Flood,1967,50.0,140000.0
Malaysia,Storm,1968,21.0,10000.0
Viet Nam,Flood,1970,237.0,204000.0
Malaysia,Flood,1970,61.0,243000.0
Viet Nam,Storm,1971,23.0,50000.0
Viet Nam,Storm,1973,100.0,150000.0
Viet Nam,Storm,1977,,1000.0
Viet Nam,Flood,1978,74.0,4079000.0
Malaysia,Flood,1978,,3000.0
Viet Nam,Storm,1980,132.0,6624710.0
Viet Nam,Storm,1980,176.0,9027174.0
Viet Nam,Flood,1980,94.0,628000.0
Viet Nam,Storm,1982,70.0,1300290.0
Viet Nam,Storm,1983,76.0,
Viet Nam,Storm,1983,578.0,845324.0
Malaysia,Flood,1983,10.0,15000.0
Viet Nam,Storm,1983,80.0,336544.0
Viet Nam,Storm,1984,21.0,1094.0
Viet Nam,Flood,1984,33.0,38000.0
Viet Nam,Storm,1984,134.0,650705.0
Viet Nam,Flood,1985,93.0,2800000.0
Viet Nam,Storm,1985,798.0,450257.0
Viet Nam,Storm,1986,435.0,2502502.0
Malaysia,Flood,1986,11.0,25000.0
Viet Nam,Flood,1986,165.0,
Viet Nam,Storm,1987,101.0,937011.0
Malaysia,Flood,1987,3.0,2576.0
Viet Nam,Storm,1987,22.0,
Viet Nam,Drought,1987,,
Viet Nam,Storm,1988,137.0,600000.0
Viet Nam,Storm,1988,20.0,720000.0
Malaysia,Flood,1988,27.0,60000.0
Viet Nam,Storm,1989,104.0,1445491.0
Viet Nam,Storm,1989,104.0,4635762.0
Viet Nam,Storm,1989,751.0,336106.0
Viet Nam,Flood,1990,82.0,10200.0
Viet Nam,Storm,1990,19.0,500108.0
Viet Nam,Storm,1990,68.0,
Viet Nam,Storm,1990,15.0,2000.0
Viet Nam,Storm,1991,17.0,455921.0
Viet Nam,Flood,1991,21.0,270600.0
Viet Nam,Flood,1991,38.0,4014.0
Viet Nam,Storm,1991,251.0,10200.0
